Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=6fe5311eacbea17a,데이터 인프라 담당자 모집,성남 판교역,"업무 경험 보유자 하둡 에코시스템 기반 대용량 데이터의 수집, 가공이 가능한 분 Java, python, go, bash 등 언어 중 하나 이상 활용 가능하신 분 #우대사항 데이터 분석가, 머신러닝 전문가와 협업 경험이..."
https://kr.indeed.com/viewjob?jk=be1091675c7f1895,[르니앤맥코이] 대리점 모집,대한민국,"대료 및 인테리어 비용에 따라 협의 가능) 인테리어 : 점주부담(단, 매장 평수 및 임대료에 따른 협의 가능) 부자가 되고 싶으신가요 르니앤맥코이와 함께 하시면 돈쭐 내드리겠습니다. 창업문의 GO~~ GO~~ GO 연락주세요~~"
https://kr.indeed.com/viewjob?jk=b72515bb9b115152,Linux Sales Representative,서울,business in line with Oracle policies. Go getting attitude to acquire new logos... Experience: · Go getting attitude...
https://kr.indeed.com/viewjob?jk=028b59ea7857aea0,SMB Sales Operation Specialist (Regional),서울,"support to our SMB sales team in executing localized go-to-market strategies, planning and excecution. Responsibilities: 1..."
https://kr.indeed.com/viewjob?jk=af104296b2cee9c5,블록체인 개발자 경력직,서울 성동구,"네트워크 구성 및 성능 최적화ㆍ경력 : 경력 5년 ~ 10년(과장급)ㆍ블록체인 네트워크/플랫폼 설계/개발 경험ㆍ Go 언어 개발, Node.js 에 능숙하신 분 0 명 근무조건 고용형태: 정규직근무부서: R&D연구개발인근전철역..."
https://kr.indeed.com/viewjob?jk=a4859c84313d93fe,Sales Strategy and Planning,서울,"required to measure business performance, and recommends the go-forward strategy to address performance gaps. Leads highly..."
https://kr.indeed.com/viewjob?jk=3e65657c693da5a8,Lead Customer Success Manager,서울,"Self-starting problem solver, who isn't afraid to learn... go and enjoys the technical intricacies and challenges of live..."
https://kr.indeed.com/viewjob?jk=381166f8d6e2e7e0,Korea - Program Facilities Process Analyst (Icheon),대한민국,SLA /KPI set up for newly-built process after project go-live * Anticipate and track process risks and finding strategic...
https://kr.indeed.com/viewjob?jk=acb033365ac6d2c0,"Manager, Partner Marketing",서울,relationship with our partners in Korea... first layer of go-to across various levels of partners’ marketing...
https://kr.indeed.com/viewjob?jk=d0c7756b2b74d3f7,Field Service Engineer South Korea,서울,"especially in medium and small companies), someone who can go on a long solo business trip, driver license. Someone who lives..."
https://kr.indeed.com/viewjob?jk=20b5a95b14ab7935,Application Developer,서울,"Java, Python, C++, Scala, Go, Ruby, etc... 래밍 언어 경험 (예 : Java, Python, C ++, Scala, Go, Ruby 등) · 애플리케이션 개발을 지원하는 마이크로 서비스 아키텍..."
https://kr.indeed.com/viewjob?jk=6cb30d4f1a487b12,카카오 플랫폼 개발자 모집,성남 판교역,"양한 서비스 개발 신규 플랫폼 발굴 및 개발 지원자격 개발 경력 5년 이상 Linux환경에서 Java, Go, Ruby 등 언어 중 하나 이상 가능하신 분 우대사항 OPA(Open Policy Agent) 대한 관심..."
https://kr.indeed.com/viewjob?jk=1108f9d87a0bf8e8,[Manta] Title Marketing Manager,서울,seasoned title marketing manager who will willingly go off the beaten path and create fun campaigns... world has...
